,Disc,Artiste,Album,,
,1,Katy Perry CD1,,,
,2,Katy Perry CD2,,,
,3,,,,
,4,,,,
,5,,,,
,6,,,,
,7,Dream Theater,6 degre of inner tubulence,,
,8,Jethro Tiull,,,
,9,,,,
,10,DT Old,,,
,11,,,,
,12,,,,
,13,Transantlantic,,,
,14,Dream Theater,Awake,,
,15,Dream Theater,Metropolys Part 2,,
,16,Dream Theater,Images And Word,,
,17,Dream Theater,A Changed Of Seasons,,
,18,Dream Theater,Live,,
,19,Shadow Gallery,,,
,20,,,,
,21,,,,
,22,NoDoubt,,,
,23,NoDoubt,,,
,24,NoDoubt,,,
,25,Gween Stefani,,,
,26,Ray Montford,,validate,
,27,Age Of Impact,,,
,28,LTE 2,,,
,29,TATU,,,
,30,Pink,,,
,31,Yelo Molo,,validate,
,32,NoDoubt,,,
,33,NoDoubt,,,
,34,Fate Warning,,validate,
,35,Dream Theater,Compile,,
,36,Dream Theater,Constant Motion,,
,37,Dream Theater,As I Am,,
,38,Pink,,,
,39,Stratovarius,,,
,40,Dream Theater,,,
,41,Rudess,,,
,42,Angra,Firework,,
,43,Dream Theater,Live,,
,44,Dream Theater,Live,,
,45,OSI 2,,,
,46,OSI 2,,,
,47,Explorer Club,,,
,48,Gordian Knot,,,
,49,Stratovarius,,,
,50,OSI,,,
,51,OSI,,,
,52,,First Hour,,
,53,Dream Theater,Live,,
,54,Dream Theater,Live,,
,55,Dream Theater,Old,,
,56,Dream Theater,Studio,,
,57,,,,
,58,Dream Theater,,,
,59,,,,
,60,,,,
,61,,,,
,62,,,,
,63,,,,
,64,,,,
,65,,,,
,66,,,,
,67,,,,
,68,,,,
,69,,,,
,70,,,,
,71,,,,
,72,,,,
,73,,,,
,74,,,,
,75,,,,
,76,,,,
,77,,,,
,78,,,,
,79,,,,
,80,The Parlor Mob,And You Were A Crow,valide,
,81,Matthew Sweet,Blue Sky On Mars,valide,
,82,Story Of The Year,Page Avenue,valide,
,83,James Murdoch,Between the Lines,valide,
,84,Mobile,Tomorrow Starts Today,valide,
,85,Sisten Seven,Live,valide,
,86,Sam Roberts,We Were Born In A Flame,valide,
,87,Ghost Pary,Wild Thing,valide,
,88,glueleg,Heroic Doses,valide,
,89,glueleg,Park Alien,valide,
,90,Moxy Fruvous,Bargainville,valide,
,91,U2,How to dimantle an atomic bomb,valide,
,92,Finger Eleven,live,valide,marche pas
,93,x,,,
,94,x,,,
,95,x,,,
,96,x,,,
,97,x,,,
,98,x,,,
,99,x,,,
,100,Mobile,Tales from the city,,
,101,Phil Pritchett and the Full Band,Tougher Than The Rest,,
,102,Lowen & Navarro,Live Wire,,
,103,Big House,Woodstock Nation,,
,104,ill Searlett,All Day With It,,
,105,gob,The World According To,,
,106,Mumford & Sons,Babel,,
,107,The Rasmus,Dead Letters,,
,108,Puzzle Gut,,,
,109,Coldplay,Viva La Vida,,
,,,,,
112 reel,110,White lion,,,
,111,Arcade Fire,Funeral,,
,112,Pearl Jam,Vitalogy,,
,113,Cage The Elephant,,,
,114,The Tragically Hip,Road Apples,,
,115,Crowed House,together alone,,
,116,,,,
,117,,,,
,118,,,,
,119,,,,
,120,the Breeders,Last Splash,,
,121,Ten By,,,
,122,Black Cross,Art Offensive,,
,123,The Ataris,so Long astoria,,
,124,The Tragically Hip,up to here,,
,125,Izzy Stradlin,and the Ju Ju Hounds,,
,126,Stuttering John,everybody's normal but me,,
,127,Muilky Chance,sad necessary,,
,128,Alien Ant Farm,truANT,,
,129,Yellow Strawberry,Kids Society,,
,130,Shaye,the bridge,,
,131,gilby clarke,Swag,,
,132,,,,
,133,,,,
,134,,,,
,135,,,,
,136,,,,
,137,,,,
,138,,,,
,139,,,,
,140,,,,
,141,,,,
,142,,,,
,143,,,,
,144,,,,
,145,,,,
,146,,,,
,147,,,,
,148,,,,
,149,,,,
